city,country,description,feels_like,humidity,icon,pressure,temperature,wind_speed,collection_timestamp
Moscow,RU,broken clouds,26.39,25,04d,1020,27.24,7.64,2025-05-26 17:57:06
Moscow,RU,overcast clouds,26.55,31,04d,1020,26.55,7.7,2025-05-26 18:20:06
