city,country,description,feels_like,humidity,icon,pressure,temperature,wind_speed,collection_timestamp
Sydney,AU,light rain,14.35,89,10n,1011,14.52,5.66,2025-05-26 17:54:00
Sydney,AU,few clouds,14.35,89,02n,1011,14.52,6.17,2025-05-26 18:57:59
