city,country,description,feels_like,humidity,icon,pressure,temperature,wind_speed,collection_timestamp
Bangkok,TH,overcast clouds,36.94,87,04n,1006,29.94,5.01,2025-05-26 17:32:41
Bangkok,TH,overcast clouds,33.05,87,04n,1006,27.94,3.62,2025-05-26 18:05:41
