city,country,description,feels_like,humidity,icon,pressure,temperature,wind_speed,collection_timestamp
Dubai,AE,clear sky,41.77,12,01d,999,43.96,5.14,2025-05-26 17:55:23
Dubai,AE,clear sky,41.77,12,01d,1000,43.96,5.14,2025-05-26 18:11:55
