city,country,description,feels_like,humidity,icon,pressure,temperature,wind_speed,collection_timestamp
New York,US,clear sky,12.7,71,01d,1022,13.45,3.6,2025-05-26 17:27:26
New York,US,clear sky,15.51,60,01d,1023,16.26,3.6,2025-05-26 18:36:08
